Job Title,Company,Location,Salary,Link
Google Cloud Architect,TATA Consultancy Services Ltd.,"Bengaluru / Bangalore, Kolkata",Not Specified,"=HYPERLINK(""www.monsterindia.com/job-vacancy-google-cloud-architect-tata-consultancy-services-ltd-bengaluru-bangalore-kolkata-10-15-years-24927207.html"")"
Finance Analytics-Business Analyst,TATA Consultancy Services Ltd.,"Kolkata, Mumbai",Not Specified,"=HYPERLINK(""www.monsterindia.com/job-vacancy-finance-analytics-business-analyst-tata-consultancy-services-ltd-kolkata-mumbai-4-9-years-24923935.html"")"
ZR_136_JOB Need Node JS Developer Urgently in Pan India,2COMS Consulting Private Limited,"Chennai, Kolkata","6,10,000-6,80,000 INR","=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1500088&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
Tableau Developer -- Business Operations,Transtrack Aeroservices Private Limited,"Kolkata, Noida",Not Specified,"=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1502185&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
Test Solution Architect,Mindteck (India) Limited,Kolkata,Not Specified,"=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1496309&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
Senior QA Lead Python Pytest (100% Remote job),LAD Software Solutions private limited,"Delhi, Kolkata","30,00,000-35,00,000 INR","=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1495146&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
Python Developer - US Tech Solutions (Noida / Kolkata),US Tech Solutions Private Limited,"Kolkata, Noida","3,00,000-14,00,000 INR","=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1474176&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
Java,Maven Workforce Private Limited,Kolkata,"2,00,000-5,00,000 INR","=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1447915&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
System Administrator or Analyst,Sath Infotech Private Limited,Kolkata,"2,00,000-6,00,000 INR","=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1486516&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
"Java Developers - Sath Infotech Pvt. Ltd., Kolkata",Sath Infotech Private Limited,Kolkata,"2,00,000-10,00,000 INR","=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1461043&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
Position :  IT Recruiter.,2COMS Consulting Private Limited,"Hyderabad / Secunderabad, Kolkata",Not Specified,"=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1440158&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
Information Security Analyst_Kolkata_Perm,Arminus Software Private Limited,Kolkata,Not Specified,"=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1476912&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
BI Developer,Arminus Software Private Limited,"Delhi, Kolkata",Not Specified,"=HYPERLINK(""www.monsterindia.com/seeker/job-details?id=1483552&searchId=ebb23e1e-f229-443d-ba4d-3c7378d94ffb"")"
Python Developer,US Tech Solutions Pvt Ltd,"Noida, Hyderabad, Kolkata",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-us-tech-solutions-pvt-ltd-noida-hyderabad-secunderabad-kolkata-3-to-8-years-240620001326?src=jobsearchDesk&sid=1595860445649949&xp=1&px=1"")"
Freelance_Python Developer,2coms consulting pvt ltd,"Chennai, Pune, Delhi, Bengaluru, Hyderabad, Kolkata",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-freelance-python-developer-2coms-consulting-pvt-ltd-chennai-pune-delhi-bengaluru-bangalore-hyderabad-secunderabad-kolkata-1-to-5-years-260520500763?src=jobsearchDesk&sid=1595860445649949&xp=2&px=1"")"
ZR_16_JOB Urgent Hiring For Python Developer,2Coms Consulting Pvt Ltd.,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata","5,50,000 - 6,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-zr-16-urgent-hiring-for-python-developer-2coms-consulting-pvt-ltd-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-1-to-3-years-020720002998?src=jobsearchDesk&sid=1595860445649949&xp=3&px=1"")"
Python Developer | Kolkata Location | MNCs,RANDSTAD INDIA PVT LTD,Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-kolkata-location-mncs-randstad-india-pvt-ltd-kolkata-5-to-10-years-150620001434?src=jobsearchDesk&sid=1595860445649949&xp=4&px=1"")"
Python Developer/tech Lead,Covalense Technologies Private Limited,"Chennai, Pune, Delhi NCR, Mumbai, Bengaluru, Hyderabad, Kolkata","4,00,000 - 9,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-tech-lead-covalense-technologies-private-limited-chennai-pune-delhi-ncr-mumbai-bengaluru-bangalore-hyderabad-secunderabad-kolkata-4-to-9-years-170620000319?src=jobsearchDesk&sid=1595860445649949&xp=5&px=1"")"
Senior Data Scientist,Bigshyft Hiring for IPROM GROUP,Kolkata,"32,50,000 - 45,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-senior-data-scientist-bigshyft-hiring-for-iprom-group-kolkata-8-to-12-years-020720900290?src=jobsearchDesk&sid=1595860445649949&xp=6&px=1"")"
Python Developer,Fluper Limited,"Delhi NCR, Bengaluru, Kolkata","3,00,000 - 7,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-fluper-limited-delhi-ncr-bengaluru-bangalore-kolkata-2-to-5-years-220720003815?src=jobsearchDesk&sid=1595860445649949&xp=8&px=1"")"
Python Developer,Navigators Software Pvt Ltd.,"Mumbai, Kolkata",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-navigators-software-pvt-ltd-mumbai-kolkata-2-to-5-years-220720900673?src=jobsearchDesk&sid=1595860445649949&xp=9&px=1"")"
Python Developer,Karmick Solutions Pvt. Ltd.,Kolkata(Kalikapur),Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-karmick-solutions-pvt-ltd-kolkata-1-to-3-years-270720002381?src=jobsearchDesk&sid=1595860445649949&xp=10&px=1"")"
"PHP , Android ,ios,and Python Developer, Seo,graphic/web Designer",Creative Hands HR Consultancy,"Chennai, Mumbai, Ahmedabad, Bengaluru, Hyderabad, Kolkata","4,00,000 - 6,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-php-android-ios-and-python-developer-seo-graphic-web-designer-creative-hands-hr-consultancy-chennai-mumbai-ahmedabad-bengaluru-bangalore-hyderabad-secunderabad-kolkata-0-to-5-years-260720000366?src=jobsearchDesk&sid=1595860445649949&xp=11&px=1"")"
Senior Software Engineer- Web Development- Python/ Java/ Ruby on Rails,Quantum Inventions Development Centre,Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-software-engineer-web-development-python-java-ruby-on-rails-quantum-inventions-development-centre-kolkata-3-to-8-years-201119905387?src=jobsearchDesk&sid=1595860445649949&xp=12&px=1"")"
Python developer,Diverse Lynx India Pvt. Ltd,Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-diverse-lynx-india-pvt-ltd-kolkata-2-to-6-years-250320500544?src=jobsearchDesk&sid=1595860445649949&xp=13&px=1"")"
Python Developer - Django Framework,Career Infosystem,Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-django-framework-career-infosystem-kolkata-2-to-5-years-280819005949?src=jobsearchDesk&sid=1595860445649949&xp=14&px=1"")"
Python Developer,La Manguste,Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-la-manguste-kolkata-2-to-7-years-140520500963?src=jobsearchDesk&sid=1595860445649949&xp=15&px=1"")"
Python Developer,Craftveda Technology Pvt Ltd.,Kolkata,"4,00,000 - 6,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-python-developer-craftveda-technology-pvt-ltd-kolkata-1-to-3-years-060620002287?src=jobsearchDesk&sid=1595860445649949&xp=16&px=1"")"
